Listing ID,Title,Type,Seller,Price,Quantity,Image URL 1,Image URL 2,Image URL 3,Brand,Model,MPN,Frame Color,Frame Material,Style,Features,Lens Color,Lens Technology,Lens Material,Department,Lens Socket Width,Eye,Bridge Width,Bridge,Vertical,Temple Length,Country/Region of Manufacture,UPC
2.83838E+11,FLEXON 2204 Havana Pewter Eyeglasses HVNP 44mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/ECoAAOSwq4Veij28/s-l1600.jpg,https://i.ebayimg.com/images/g/UpkAAOSwpeFeij2-/s-l1600.jpg,https://i.ebayimg.com/images/g/pjIAAOSwuyteij2~/s-l1600.jpg,Marchon,FLEXON 2204,2204 HVNP,Gray,Metal,Oval,Full Rim,,,,Unisex,44 mm,,19 mm,,30 mm,140 mm,China,Does not apply
2.83838E+11,FLEXON 2204 Shiny Brown Eyeglasses SHN BRN 44mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/1Q0AAOSwoP1eij55/s-l1600.jpg,https://i.ebayimg.com/images/g/yXgAAOSwe-heij57/s-l1600.jpg,https://i.ebayimg.com/images/g/X~gAAOSwPzNeij59/s-l1600.jpg,Flexon,FLEXON 2204,2204 SHN BRN,Brown,Metal,Oval,,,,,Unisex Adults,44 mm,,19 mm,,30 mm,140 mm,China,Does not apply
2.83838E+11,FLEXON 463 White Red Rimless Eyeglasses 52mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/7Y0AAOSwz8teij-n/s-l1600.jpg,https://i.ebayimg.com/images/g/J4kAAOSwlzteij-p/s-l1600.jpg,https://i.ebayimg.com/images/g/ABAAAOSwd5Feij-q/s-l1600.jpg,Flexon,FLEXON 463,463 White Red,Red,Metal,Rectangular,Rimless,,,,Unisex Adults,52 mm,,18 mm,,29 mm,140 mm,China,Does not apply
2.7433E+11,FLEXON Bridge 475 035 Steel Eyeglasses 49mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/LboAAOSwVPBejLhX/s-l1600.jpg,https://i.ebayimg.com/images/g/tosAAOSw1PNejLhY/s-l1600.jpg,https://i.ebayimg.com/images/g/6QYAAOSweVZejLhZ/s-l1600.jpg,Flexon,FLEXON Bridge,475 035,Silver,"Metal, Plastic",Rectangular,,,,,Unisex Adults,49 mm,,18 mm,,25 mm,140 mm,China,Does not apply
2.7433E+11,FLEXON Bridge 475 201 Dark Shiny Brown Eyeglasses 49mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/vMkAAOSwAbxejLpe/s-l1600.jpg,https://i.ebayimg.com/images/g/~okAAOSwkqBejLpg/s-l1600.jpg,https://i.ebayimg.com/images/g/DXsAAOSw1ZJejLph/s-l1600.jpg,Flexon,FLEXON Bridge,475 201 Dark Shiny Brown,Brown,"Metal, Plastic",Rectangular,,,,,Unisex Adults,49 mm,,18 mm,,25 mm,140 mm,China,Does not apply
2.8384E+11,FLEXON Bridge 475 014 Charcoal Red Eyeglasses 51mm Marchon,Eyeglasses,SunRayCity Eyewear,US $69.00,1,https://i.ebayimg.com/images/g/CXUAAOSwl4xejLud/s-l1600.jpg,https://i.ebayimg.com/images/g/x~AAAOSwKk5ejLuf/s-l1600.jpg,https://i.ebayimg.com/images/g/yBUAAOSw2j5ejLuh/s-l1600.jpg,Flexon,FLEXON Bridge,475 014 Charcoal Red,Red,"Metal, Plastic",Rectangular,,,,,Unisex Adults,51 mm,,18 mm,,26 mm,140 mm,China,Does not apply
2.83843E+11,SILHOUETTE 4434 Red Black Rimless Eyeglasses 406054 53mm,Eyeglasses,SunRayCity Eyewear,US $169.00,1,https://i.ebayimg.com/images/g/Np4AAOSw17lekGGf/s-l1600.jpg,https://i.ebayimg.com/images/g/nxYAAOSwKpdekGGg/s-l1600.jpg,https://i.ebayimg.com/images/g/OskAAOSwCnpekGGj/s-l1600.jpg,Silhouette,SILHOUETTE 4434,4434 406054,Red,"Metal, Plastic",Rectangular,Rimless,,,,Unisex Adults,53 mm,,17 mm,,37 mm,140 mm,Austria,Does not apply
2.83843E+11,BALENCIAGA BA 5079 049 Brown Eyeglasses 53mm,Eyeglasses,SunRayCity Eyewear,US $139.00,1,https://i.ebayimg.com/images/g/lN8AAOSwKmVekNDR/s-l1600.jpg,https://i.ebayimg.com/images/g/~9AAAOSwLNtekNDS/s-l1600.jpg,https://i.ebayimg.com/images/g/SA8AAOSwCFBekNDT/s-l1600.jpg,Balenciaga,BALENCIAGA BA 5079,BA 5079 049,Brown,"Acetate, Metal",Cat Eye,,,,,Women,53 mm,,18 mm,,37 mm,140 mm,Italy,Does not apply
2.83843E+11,BALENCIAGA BA 5074 069 Burgundy Eyeglasses 53mm,Eyeglasses,SunRayCity Eyewear,US $149.00,1,https://i.ebayimg.com/images/g/lY8AAOSwE-VekODA/s-l1600.jpg,https://i.ebayimg.com/images/g/dxcAAOSwe~1ekODB/s-l1600.jpg,https://i.ebayimg.com/images/g/W-gAAOSwJX5ekODC/s-l1600.jpg,Balenciaga,BALENCIAGA BA 5074,BA 5079 049,Red,Acetate,Cats Eye,,,,,Women,53 mm,,17 mm,,37 mm,140 mm,Italy,Does not apply
2.83843E+11,BALENCIAGA BA 5060 050 Tortoise Eyeglasses 51mm,Eyeglasses,SunRayCity Eyewear,US $129.00,1,https://i.ebayimg.com/images/g/9L0AAOSwkfVekOrc/s-l1600.jpg,https://i.ebayimg.com/images/g/qk8AAOSwQKlekOre/s-l1600.jpg,https://i.ebayimg.com/images/g/ZA4AAOSw~t5ekOrg/s-l1600.jpg,Balenciaga,BA 5060,BA 5060 050,Tortoise,Acetate,Cats Eye,,,,,Women,51 mm,,19 mm,,37 mm,140 mm,Italy,6.6469E+11
